-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.02%      39.790ms         0.02%      39.790ms       0.503us       0.000us         0.00%       0.000us       0.000us         79056  
                               aten::nll_loss2d_forward         0.01%      13.079ms         0.02%      39.516ms     107.967us      20.999ms         0.06%      22.839ms      62.402us           366  
                                            aten::fill_         0.01%      18.863ms         0.02%      38.290ms      12.918us      10.050ms         0.03%      10.050ms       3.391us          2964  
       autograd::engine::evaluate_function: MmBackward0         0.00%       5.818ms         0.02%      37.546ms     102.585us       0.000us         0.00%     384.476ms       1.050ms           366  
                                            aten::zero_         0.00%       7.222ms         0.02%      37.181ms      19.990us       0.000us         0.00%       9.318ms       5.010us          1860  
                               aten::threshold_backward         0.01%      24.757ms         0.02%      37.054ms      25.310us     113.312ms         0.33%     113.312ms      77.399us          1464  
                                      aten::log_softmax         0.00%       3.613ms         0.01%      34.224ms      93.508us       0.000us         0.00%      68.240ms     186.448us           366  
                                            MmBackward0         0.00%       3.682ms         0.01%      31.728ms      86.689us       0.000us         0.00%     384.476ms       1.050ms           366  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%       3.108ms         0.01%      30.799ms      84.150us       0.000us         0.00%      20.166ms      55.098us           366  
autograd::engine::evaluate_function: UpsampleNearest...         0.00%       5.382ms         0.01%      30.399ms      41.529us       0.000us         0.00%     129.363ms     176.725us           732  
                                     aten::_log_softmax         0.00%      10.659ms         0.01%      30.240ms      82.623us      37.464ms         0.11%      68.240ms     186.448us           366  
                                     aten::index_select         0.01%      12.744ms         0.01%      29.800ms      81.421us       6.072ms         0.02%       6.072ms      16.590us           366  
                                              aten::any         0.01%      25.476ms         0.01%      29.706ms      20.291us       0.000us         0.00%       0.000us       0.000us          1464  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 243.313s
Self CUDA time total: 34.430s
